,num_neuronas,lr,fun_activacion,tam_bache,mejor_perdida
0,49,0.001,relu,23,0.10072603076696396
1,49,0.001,relu,59,0.101364403963089
2,49,0.001,relu,60,0.09655383229255676
3,49,0.001,relu,86,0.09903659671545027
4,49,0.001,relu,104,0.08727540820837021
5,49,0.001,relu,123,0.10345326364040376
6,64,0.001,relu,23,0.08808623999357224
7,64,0.001,relu,59,0.08857215940952301
8,64,0.001,relu,60,0.09595470875501633
9,64,0.001,relu,86,0.08814307302236557
10,64,0.001,relu,104,0.09638108313083647
11,64,0.001,relu,123,0.09610387682914734
12,97,0.001,relu,23,0.0921764001250267
13,97,0.001,relu,59,0.08228868246078491
14,97,0.001,relu,60,0.0934060737490654
15,97,0.001,relu,86,0.07533317804336548
16,97,0.001,relu,104,0.07987766712903976
17,97,0.001,relu,123,0.08105351030826569
18,117,0.001,relu,23,0.08960691094398499
19,117,0.001,relu,59,0.08850297331809998
20,117,0.001,relu,60,0.09256985783576964
21,117,0.001,relu,86,0.08591938018798828
22,117,0.001,relu,104,0.0931343138217926
23,117,0.001,relu,123,0.08992127329111099
24,123,0.001,relu,23,0.0909186750650406
25,123,0.001,relu,59,0.08242311328649521
26,123,0.001,relu,60,0.09051939100027084
27,123,0.001,relu,86,0.07907457649707794
28,123,0.001,relu,104,0.09805860370397568
29,123,0.001,relu,123,0.08748716861009598
30,144,0.001,relu,23,0.07699506729841232
31,144,0.001,relu,59,0.08924585580825806
32,144,0.001,relu,60,0.09485655277967453
33,144,0.001,relu,86,0.08427087962627411
34,144,0.001,relu,104,0.08394722640514374
35,144,0.001,relu,123,0.08466660231351852
36,167,0.001,relu,23,0.08937205374240875
37,167,0.001,relu,59,0.08263222873210907
38,167,0.001,relu,60,0.07979069650173187
39,167,0.001,relu,86,0.0847400650382042
40,167,0.001,relu,104,0.09378789365291597
41,167,0.001,relu,123,0.09178311377763748
42,183,0.001,relu,23,0.08153782784938812
43,183,0.001,relu,59,0.09131393581628801
44,183,0.001,relu,60,0.07706424593925476
45,183,0.001,relu,86,0.09168797731399536
46,183,0.001,relu,104,0.08530914783477782
47,183,0.001,relu,123,0.08340524882078171
